sce_name,target_year,bus,type,area_km2,oly_field,rel,onshore
clever,2030,AT1 0,H2 Electrolysis,0.02216255844391017,3.0,0.00028773572756817103,True
clever,2030,AT1 0,H2 Store,1.1300760727737988e-07,0.0,1.467173845609412e-09,True
clever,2030,AT1 0,grid,8.522967557718797e-07,0.0,1.1065339218243532e-08,True
clever,2030,AT1 0,onwind,10.988774785312335,1539.0,0.14266688189167231,True
clever,2030,AT1 0,protected area,718.3506129580715,100609.0,9.326321092018508,True
clever,2030,AT1 0,solar,9.285588868830404,1301.0,0.12055447821305046,True
clever,2030,AT1 0,solar rooftop,3.6691993592731196,514.0,0.047637088015134804,True
clever,2030,AT1 0,urban area,367.5506129580716,51478.0,4.771896859528778,True
clever,2030,AT1 1,H2 Electrolysis,0.017112650863587774,2.0,4.375318847373853e-05,True
clever,2030,AT1 1,H2 Store,1.1583649815992004e-07,0.0,2.9616779869640047e-10,True
clever,2030,AT1 1,grid,4.1529000158520875,582.0,0.010618028647612635,True
clever,2030,AT1 1,onwind,697.251518441341,97654.0,1.7827148665129948,True
clever,2030,AT1 1,protected area,6835.660102286956,957375.0,17.477241088004735,True
clever,2030,AT1 1,solar,9.418537315102153,1319.0,0.024081075549285545,True
clever,2030,AT1 1,solar rooftop,34.24445066855867,4796.0,0.0875553364715208,True
clever,2030,AT1 1,urban area,2684.380102286957,375964.0,6.863354455528847,True
clever,2030,AT1 2,H2 Electrolysis,0.004051008869522362,1.0,1.0897695433220085e-05,True
clever,2030,AT1 2,H2 Store,1.1447050081860094e-07,0.0,3.079392551802452e-10,True
clever,2030,AT1 2,grid,11.632656600056443,1629.0,0.0312932291164298,True
clever,2030,AT1 2,onwind,88.30481234180353,12368.0,0.23755044266345732,True
clever,2030,AT1 2,protected area,5292.118421456282,741193.0,14.236427668045039,True
clever,2030,AT1 2,solar,123.7961962147826,17338.0,0.33302648441224464,True
clever,2030,AT1 2,solar rooftop,18.6949835784512,2618.0,0.050291728240781014,True
clever,2030,AT1 2,urban area,1750.6784214562815,245193.0,4.709533070163461,True
clever,2030,BE1 0,H2 Electrolysis,8.285337648257098e-08,0.0,6.937327012163043e-10,True
clever,2030,BE1 0,H2 Store,1.1313048733250019e-07,0.0,9.472434546297793e-10,True
clever,2030,BE1 0,grid,13.434812578162667,1882.0,0.11248990947453007,True
clever,2030,BE1 0,onwind,114.84978079097472,16085.0,0.9616391273925178,True
clever,2030,BE1 0,protected area,1265.236846594693,177204.0,10.593849189129612,True
clever,2030,BE1 0,solar,26.477785141778302,3708.0,0.22169893598113996,True
clever,2030,BE1 0,solar rooftop,41.37346375291809,5795.0,0.34642070108059503,True
clever,2030,BE1 0,urban area,3209.9368465946927,449571.0,26.87685467821965,True
clever,2030,BE1 1,H2 Electrolysis,8.405341813629378e-08,0.0,6.96496969702513e-10,True
clever,2030,BE1 1,H2 Store,1.1266871707679446e-07,0.0,9.336136681200921e-10,True
clever,2030,BE1 1,grid,4.097304878203545,574.0,0.03395174753022752,True
clever,2030,BE1 1,onwind,60.99028396546819,8542.0,0.5053875131450715,True
clever,2030,BE1 1,protected area,2219.903522370037,310911.0,18.394922070338083,True
clever,2030,BE1 1,solar,25.71299202090053,3601.0,0.21306713541979208,True
clever,2030,BE1 1,solar rooftop,16.54305314729161,2317.0,0.13708171115697926,True
clever,2030,BE1 1,urban area,1638.4635223700377,229477.0,13.576900304618068,True
clever,2030,BE1 2,H2 Electrolysis,8.313758255615784e-08,0.0,1.2475916636043746e-09,True
clever,2030,BE1 2,H2 Store,1.1287935102274007e-07,0.0,1.6939070514098275e-09,True
clever,2030,BE1 2,grid,10.877765512766903,1523.0,0.163235556713526,True
clever,2030,BE1 2,offwind,422.2648752789269,59141.0,5.183537165639638,True
clever,2030,BE1 2,onwind,323.20024235049544,45266.0,4.850055963066078,True
clever,2030,BE1 2,protected area,436.9356300651996,61195.0,6.556809000704966,True
clever,2030,BE1 2,solar,82.31514952167197,11529.0,1.235249945621363,True
clever,2030,BE1 2,solar rooftop,15.7602817219489,2207.0,0.23650430392389957,True
clever,2030,BE1 2,urban area,1382.0856300651994,193569.0,20.74006072153981,True
clever,2030,BG1 0,H2 Electrolysis,0.023967950697385578,3.0,4.239231239808553e-05,True
clever,2030,BG1 0,H2 Store,1.1661112323700291e-07,0.0,2.062510569956198e-10,True
clever,2030,BG1 0,grid,1.759134083903197e-07,0.0,3.111394986434065e-10,True
clever,2030,BG1 0,onwind,23.47000298036819,3287.0,0.04151158815744292,True
clever,2030,BG1 0,protected area,21008.856668220036,2942417.0,37.15853834357788,True
clever,2030,BG1 0,solar,10.18902306110506,1427.0,0.018021409259857124,True
clever,2030,BG1 0,solar rooftop,27.46145695915726,3846.0,0.04857130578319157,True
clever,2030,BG1 0,urban area,2341.106668220032,327886.0,4.140734703999971,True
clever,2030,BG1 1,H2 Electrolysis,0.01031221364999245,1.0,1.8330463505683934e-05,True
clever,2030,BG1 1,H2 Store,1.1815334857662746e-07,0.0,2.100233487850408e-10,True
clever,2030,BG1 1,grid,7.337525490838967e-08,0.0,1.3042809991814686e-10,True
clever,2030,BG1 1,offwind,201.5355086402538,28226.0,0.5715844708751612,True
clever,2030,BG1 1,onwind,465.97337517424717,65262.0,0.8282904367733072,True
clever,2030,BG1 1,protected area,17975.714377889428,2517607.0,31.952710404980937,True
clever,2030,BG1 1,solar,12.604632332790638,1765.0,0.022405349697050908,True
clever,2030,BG1 1,solar rooftop,20.11305549388466,2817.0,0.03575193864594907,True
