sce_name,target_year,bus,type,area_km2,oly_field,rel,onshore,base_area
tyndp_ga,2030,AT1 0,H2 Electrolysis,0.2443100423738432,34.0,0.000290889409757,True,83987.25913670499
tyndp_ga,2030,AT1 0,H2 Store,6.105478620790781e-08,0.0,7.269529549539458e-11,True,83987.25913670134
tyndp_ga,2030,AT1 0,grid,1.4842764104883566,208.0,0.0017672637799412,True,83987.25913670573
tyndp_ga,2030,AT1 0,onwind,985.6861810265148,138051.0,1.1736139399693577,True,83987.25913670132
tyndp_ga,2030,AT1 0,protected area,12846.129136701342,1799178.0,15.295330826063056,True,83987.25913670135
tyndp_ga,2030,AT1 0,solar,173.6877225845784,24326.0,0.2068024654809566,True,83987.25913670137
tyndp_ga,2030,AT1 0,solar rooftop,56.60860587107871,7928.0,0.0674014207070861,True,83987.25913670138
tyndp_ga,2030,AT1 0,urban area,4802.609136701339,672634.0,5.718259157480544,True,83987.25913670134
tyndp_ga,2030,BE1 0,H2 Electrolysis,0.4692168868244218,66.0,0.0015296396023629,True,30674.99599903156
tyndp_ga,2030,BE1 0,H2 Store,6.016244017539146e-08,0.0,1.9612859991014856e-10,True,30674.995999029914
tyndp_ga,2030,BE1 0,grid,1.3230256129803948,185.0,0.0043130424956607,True,30674.99599903026
tyndp_ga,2030,BE1 0,offwind,512.9635319247967,71844.0,6.296913828301679,True,8146.268885231775
tyndp_ga,2030,BE1 0,onwind,471.2495203878558,66001.0,1.536265955512297,True,30674.995999029914
tyndp_ga,2030,BE1 0,protected area,3922.0759990299134,549310.0,12.78590549499647,True,30674.995999029914
tyndp_ga,2030,BE1 0,solar,86.13969517361232,12064.0,0.2808140388228134,True,30674.995999029914
tyndp_ga,2030,BE1 0,solar rooftop,73.67674742970564,10319.0,0.2401850270234286,True,30674.995999029914
tyndp_ga,2030,BE1 0,urban area,6230.485999029914,872617.0,20.311285449644235,True,30674.995999029914
tyndp_ga,2030,BG1 0,H2 Electrolysis,0.1572490440172645,22.0,0.0001394105186997,True,112795.68104612675
tyndp_ga,2030,BG1 0,H2 Store,6.150640386686851e-08,0.0,5.452904162325638e-11,True,112795.68104610944
tyndp_ga,2030,BG1 0,grid,0.0002470951795497,0.0,2.190643979078405e-07,True,112795.68104610586
tyndp_ga,2030,BG1 0,offwind,34.05950281235698,4770.0,0.0965977808308848,True,35259.0944837392
tyndp_ga,2030,BG1 0,onwind,240.39635335957445,33669.0,0.2131254948150927,True,112795.68104610944
tyndp_ga,2030,BG1 0,protected area,38984.57104610944,5460024.0,34.56211326936627,True,112795.68104610941
tyndp_ga,2030,BG1 0,solar,20.466031179154616,2866.0,0.0181443393836935,True,112795.68104610986
tyndp_ga,2030,BG1 0,solar rooftop,30.439703120739107,4263.0,0.0269865856905423,True,112795.68104610946
tyndp_ga,2030,BG1 0,urban area,4935.231046109438,691209.0,4.375372354985807,True,112795.68104610944
tyndp_ga,2030,CZ1 0,H2 Electrolysis,0.2732701521046672,38.0,0.0003470613900279,True,78738.27511688902
tyndp_ga,2030,CZ1 0,H2 Store,6.055376101508205e-08,0.0,7.690511498404287e-11,True,78738.27511687152
tyndp_ga,2030,CZ1 0,grid,0.0003741058030254,0.0,4.75125728205487e-07,True,78738.27511685561
tyndp_ga,2030,CZ1 0,onwind,551.6305193992988,77259.0,0.7005875078930948,True,78738.2751168715
tyndp_ga,2030,CZ1 0,protected area,11018.795116871504,1543249.0,13.994204344096016,True,78738.27511687152
tyndp_ga,2030,CZ1 0,solar,41.24363448853698,5776.0,0.0523806680135155,True,78738.27511687158
tyndp_ga,2030,CZ1 0,solar rooftop,47.31574539761402,6627.0,0.0600924332256238,True,78738.2751168716
tyndp_ga,2030,CZ1 0,urban area,4919.775116871504,689044.0,6.248263769518781,True,78738.27511687152
tyndp_ga,2030,DE1 0,H2 Electrolysis,0.0001617544335864,0.0,3.077076442610381e-07,True,52567.57074555438
tyndp_ga,2030,DE1 0,H2 Store,6.017619575623647e-08,0.0,1.1447399014779408e-10,True,52567.57074558571
tyndp_ga,2030,DE1 0,grid,2.025236824777421,284.0,0.0038526353720606,True,52567.570745585865
tyndp_ga,2030,DE1 0,onwind,620.8990810885246,86961.0,1.181144710098029,True,52567.570745585705
tyndp_ga,2030,DE1 0,protected area,9615.950745585706,1346772.0,18.292553011674396,True,52567.570745585705
tyndp_ga,2030,DE1 0,solar,130.02915850731236,18211.0,0.2473562248798255,True,52567.57074558571
tyndp_ga,2030,DE1 0,solar rooftop,44.87960999746834,6286.0,0.0853750884070233,True,52567.57074558574
tyndp_ga,2030,DE1 0,urban area,5551.870745585708,777573.0,10.56139872328401,True,52567.57074558571
tyndp_ga,2030,DE1 1,H2 Electrolysis,1.4954638381983976,209.0,0.0021595884355623,True,69247.63133439443
tyndp_ga,2030,DE1 1,H2 Store,0.0032633528463571,0.0,4.7125840746792205e-06,True,69247.63133439126
tyndp_ga,2030,DE1 1,grid,12.50600191778528,1752.0,0.0180598262739049,True,69247.63133439174
tyndp_ga,2030,DE1 1,offwind,191.5156146858224,26823.0,1.03661159647965,True,18475.156494121093
tyndp_ga,2030,DE1 1,onwind,3662.5036318889306,512956.0,5.28899481659233,True,69247.63133439147
tyndp_ga,2030,DE1 1,protected area,8406.261334391464,1177348.0,12.139420760543096,True,69247.63133439147
tyndp_ga,2030,DE1 1,solar,124.1521438592999,17388.0,0.1792872066046256,True,69247.63133439148
tyndp_ga,2030,DE1 1,solar rooftop,0.0199779895726915,3.0,2.8850069219291235e-05,True,69247.63133439132
