sce_name,target_year,bus,type,area_km2,oly_field,rel
clever,2030,AT1 0,H2 Electrolysis,0.033791418526848256,5.0,4.023398176602937e-05
clever,2030,AT1 0,H2 Store,1.2084499870257287e-06,0.0,1.4388491771815087e-09
clever,2030,AT1 0,grid,44.481281793159646,6230.0,0.05296194000182809
clever,2030,AT1 0,onwind,830.0000030247962,116246.0,0.9882451356983228
clever,2030,AT1 0,solar,127.79779912320099,17899.0,0.1521633167183033
clever,2030,AT1 0,solar rooftop,50.76790285947086,7110.0,0.06044714803329728
clever,2030,BE1 0,H2 Electrolysis,8.770358993776896e-07,0.0,2.859123109275794e-09
clever,2030,BE1 0,H2 Store,1.14467107876935e-06,0.0,3.7316095454602495e-09
clever,2030,BE1 0,grid,38.77876132400991,5431.0,0.12641814631446496
clever,2030,BE1 0,offwind,440.0000006111868,61625.0,5.401245733600261
clever,2030,BE1 0,onwind,520.0000022939257,72829.0,1.6951917526260494
clever,2030,BE1 0,solar,120.62812163809966,16895.0,0.39324576160308045
clever,2030,BE1 0,solar rooftop,66.07507289674072,9254.0,0.21540368872038426
clever,2030,BG1 0,H2 Electrolysis,0.025095401121365,4.0,2.2248547895292477e-05
clever,2030,BG1 0,H2 Store,1.2545568644101395e-06,0.0,1.112238387830907e-09
clever,2030,BG1 0,grid,3.31550413459049,464.0,0.002939389260157181
clever,2030,BG1 0,offwind,143.81276578575768,20142.0,0.40787424603907896
clever,2030,BG1 0,onwind,510.0000003927218,71429.0,0.4521449719198382
clever,2030,BG1 0,solar,20.44192569956103,2863.0,0.018122968459408147
clever,2030,BG1 0,solar rooftop,42.66592922737386,5976.0,0.037825853642332784
clever,2030,CZ1 0,H2 Electrolysis,0.02373476600442826,3.0,3.01438734455367e-05
clever,2030,CZ1 0,H2 Store,1.1974597689607894e-06,0.0,1.5208102630942773e-09
clever,2030,CZ1 0,grid,4.996328733783671e-06,0.0,6.3454891872696e-09
clever,2030,CZ1 0,onwind,510.0000019548751,71429.0,0.647715486779308
clever,2030,CZ1 0,solar,36.96129917428879,5177.0,0.04694197214687139
clever,2030,CZ1 0,solar rooftop,50.74394789989613,7107.0,0.06444635448843235
clever,2030,DE1 0,H2 Electrolysis,0.6714202120927804,94.0,0.00018853691670494267
clever,2030,DE1 0,H2 Store,1.7318475041094716,243.0,0.0004863082504028497
clever,2030,DE1 0,grid,230.68494985929317,32309.0,0.06477706269988695
clever,2030,DE1 0,offwind,3020.0000025233635,422969.0,5.309506444169868
clever,2030,DE1 0,onwind,9500.000002191697,1330532.0,2.6676300129950024
clever,2030,DE1 0,solar,2355.1835105236437,329858.0,0.6613429702457201
clever,2030,DE1 0,solar rooftop,471.0247365473623,65970.0,0.13226523408283392
clever,2030,DK1 0,H2 Electrolysis,0.14605440959447374,20.0,0.00046177304175748144
