sce_name,target_year,bus,type,water_miom3,oly_pool,onshore
clever,2030,AT1 0,H2 Electrolysis,0.02159723128643741,9.0,True
clever,2030,AT1 0,SMR,4.713119953810614e-08,0.0,True
clever,2030,AT1 0,biomass,5.852000000000008,2341.0,True
clever,2030,AT1 0,coal,1.2705176785676576e-12,0.0,True
clever,2030,AT1 0,gas,4.052843394575814,1621.0,True
clever,2030,AT1 0,hydro,779.5950627348466,311838.0,True
clever,2030,AT1 0,nuclear,2.2130131832013333e-12,0.0,True
clever,2030,AT1 0,oil,4.210325757160356e-12,0.0,True
clever,2030,BE1 0,H2 Electrolysis,1.9918649282390282e-14,0.0,True
clever,2030,BE1 0,SMR,4.1499768179531095e-08,0.0,True
clever,2030,BE1 0,biomass,2.7170000000000054,1087.0,True
clever,2030,BE1 0,coal,1.7927158247652987e-06,0.0,True
clever,2030,BE1 0,gas,9.607058111449536,3843.0,True
clever,2030,BE1 0,hydro,12.75534175174115,5102.0,True
clever,2030,BE1 0,lignite,3.052415501711881,1221.0,True
clever,2030,BE1 0,nuclear,25.95862544348922,10383.0,True
clever,2030,BE1 0,oil,1.2965024998024723e-12,0.0,True
clever,2030,BG1 0,H2 Electrolysis,0.017277785029268508,7.0,True
clever,2030,BG1 0,SMR,4.374285995396677e-08,0.0,True
clever,2030,BG1 0,biomass,0.9531928743158312,381.0,True
clever,2030,BG1 0,coal,1.2734630963776856e-06,0.0,True
clever,2030,BG1 0,gas,0.4223204419906067,169.0,True
clever,2030,BG1 0,hydro,80.50138798526808,32201.0,True
clever,2030,BG1 0,lignite,7.975365043539,3190.0,True
clever,2030,BG1 0,nuclear,14.892000000001397,5957.0,True
clever,2030,BG1 0,oil,1.2965045492891481e-12,0.0,True
clever,2030,CZ1 0,H2 Electrolysis,0.014398154191058042,6.0,True
clever,2030,CZ1 0,SMR,4.762557372121707e-08,0.0,True
clever,2030,CZ1 0,biomass,2.621280404368531,1049.0,True
clever,2030,CZ1 0,coal,4.315396213972717e-06,0.0,True
clever,2030,CZ1 0,gas,6.0060000000008875,2402.0,True
clever,2030,CZ1 0,hydro,32.51143793807974,13005.0,True
clever,2030,CZ1 0,lignite,15.685027228899326,6274.0,True
clever,2030,CZ1 0,nuclear,66.5480000000046,26619.0,True
clever,2030,CZ1 0,oil,1.2965019528085553e-12,0.0,True
clever,2030,DE1 0,H2 Electrolysis,1.229980437576503e-07,0.0,True
clever,2030,DE1 0,SMR,4.3734530214977706e-08,0.0,True
clever,2030,DE1 0,biomass,0.22922104737035637,92.0,True
clever,2030,DE1 0,coal,1.9884606766429235e-12,0.0,True
clever,2030,DE1 0,gas,12.226877449420101,4891.0,True
clever,2030,DE1 0,hydro,37.02817060466144,14811.0,True
clever,2030,DE1 0,nuclear,3.4245559795246584e-12,0.0,True
